,Actual,Prediction,Accuracy,245/480 (51.041666666666664%)
0,adhy,adhy,0.9865343570709229,match
1,adhy,adhy,0.8157165050506592,match
2,adhy,adhy,0.8504005074501038,match
3,adhy,jonah,0.8819706439971924,nope
4,adhy,bryce,0.5381450057029724,nope
5,adhy,bryce,0.6743776798248291,nope
6,adhy,adhy,0.6245865225791931,match
7,adhy,jonah,0.8631709814071655,nope
8,adhy,adhy,0.4479169249534607,match
9,adhy,jonah,0.9779899716377258,nope
10,adhy,qk,0.9818603992462158,nope
11,adhy,qk,0.9313039779663086,nope
12,adhy,adhy,0.9855527281761169,match
13,adhy,adhy,0.7661559581756592,match
14,adhy,adhy,0.9988341927528381,match
15,adhy,adhy,0.9998612403869629,match
16,adhy,adhy,0.8059642314910889,match
17,adhy,adhy,0.9998778104782104,match
18,adhy,jonah,0.7498507499694824,nope
19,adhy,jonah,0.9570208191871643,nope
20,adhy,adhy,0.9953212141990662,match
21,adhy,adhy,0.8298793435096741,match
22,adhy,qk,0.8981847167015076,nope
23,adhy,jonah,0.5298869013786316,nope
24,adhy,adhy,0.6370902061462402,match
25,adhy,adhy,0.45476797223091125,match
26,adhy,adhy,0.9987762570381165,match
27,adhy,adhy,0.9998201727867126,match
28,adhy,bryce,0.8965019583702087,nope
29,adhy,bryce,0.981813907623291,nope
30,adhy,jonah,0.8799207806587219,nope
31,adhy,jonah,0.9966536164283752,nope
32,adhy,adhy,0.9998525381088257,match
33,adhy,adhy,0.9928781390190125,match
34,adhy,qk,0.9463132619857788,nope
35,adhy,adhy,0.877342164516449,match
36,adhy,qk,0.9931933283805847,nope
37,adhy,qk,0.9998323917388916,nope
38,adhy,qk,0.6002478003501892,nope
39,adhy,qk,0.9881276488304138,nope
40,adhy,bryce,0.5588712096214294,nope
41,adhy,qk,0.9970250725746155,nope
42,adhy,bryce,0.5736114978790283,nope
43,adhy,qk,0.664060652256012,nope
44,adhy,adhy,0.9999086856842041,match
45,adhy,adhy,0.9944838881492615,match
46,adhy,bryce,0.9754271507263184,nope
47,adhy,adhy,0.9557799100875854,match
48,alan,alan,0.9749336838722229,match
49,alan,alan,0.9997432827949524,match
50,alan,alan,0.9949281215667725,match
51,alan,alan,0.999893307685852,match
52,alan,alan,0.9998822212219238,match
53,alan,alan,0.999862551689148,match
54,alan,jc,0.8503552079200745,nope
55,alan,gerald,0.741463303565979,nope
56,alan,alan,0.887730062007904,match
57,alan,alan,0.9997692704200745,match
58,alan,alan,0.999840497970581,match
59,alan,gerald,0.7711928486824036,nope
60,alan,alan,0.8778749704360962,match
61,alan,jc,0.9443790316581726,nope
62,alan,gerald,0.866083025932312,nope
63,alan,gerald,0.9008117914199829,nope
64,alan,gerald,0.7045808434486389,nope
65,alan,gerald,0.9896851778030396,nope
66,alan,alan,0.9996631145477295,match
67,alan,alan,0.8479560613632202,match
68,alan,alan,0.7271912097930908,match
69,alan,alan,0.9989930987358093,match
70,alan,alan,0.9994065761566162,match
71,alan,gerald,0.8903767466545105,nope
72,alan,alan,0.9856568574905396,match
73,alan,alan,0.8518919944763184,match
74,alan,gerald,0.9989767074584961,nope
75,alan,alan,0.5402881503105164,match
76,alan,alan,0.9254976511001587,match
77,alan,alan,0.9716127514839172,match
78,alan,alan,0.999897837638855,match
79,alan,alan,0.9999034404754639,match
80,alan,gerald,0.8273827433586121,nope
81,alan,alan,0.9993253946304321,match
82,alan,alan,0.9999065399169922,match
83,alan,alan,0.997017502784729,match
84,alan,alan,0.9998692274093628,match
85,alan,alan,0.9998217225074768,match
86,alan,jc,0.7400700449943542,nope
87,alan,alan,0.9993482232093811,match
88,alan,alan,0.9983635544776917,match
89,alan,alan,0.9998873472213745,match
90,alan,alan,0.9998798370361328,match
91,alan,alan,0.7914921045303345,match
92,alan,gerald,0.9921682476997375,nope
93,alan,gerald,0.8705943822860718,nope
94,alan,alan,0.9032041430473328,match
95,alan,alan,0.9892244935035706,match
96,andy,andy,0.9999843835830688,match
97,andy,andy,0.9999855756759644,match
98,andy,andy,0.9999810457229614,match
99,andy,andy,0.9999833106994629,match
100,andy,andy,0.9999849796295166,match
101,andy,andy,0.9999823570251465,match
102,andy,andy,0.9999842643737793,match
103,andy,andy,0.9999841451644897,match
104,andy,andy,0.9999849796295166,match
105,andy,andy,0.9999411106109619,match
106,andy,andy,0.9999873638153076,match
107,andy,andy,0.9999833106994629,match
108,andy,andy,0.999984860420227,match
109,andy,andy,0.999984622001648,match
110,andy,andy,0.9999865293502808,match
111,andy,andy,0.9999867677688599,match
112,andy,andy,0.9999855756759644,match
113,andy,andy,0.9986562728881836,match
114,andy,andy,0.999983549118042,match
115,andy,andy,0.9999810457229614,match
116,andy,andy,0.9999841451644897,match
117,andy,andy,0.999988317489624,match
118,andy,andy,0.9999868869781494,match
119,andy,andy,0.9999885559082031,match
120,andy,andy,0.9999817609786987,match
121,andy,andy,0.9999855756759644,match
122,andy,andy,0.9999871253967285,match
123,andy,andy,0.9999853372573853,match
124,andy,andy,0.9999865293502808,match
125,andy,andy,0.9999788999557495,match
126,andy,andy,0.9999810457229614,match
127,andy,andy,0.9999492168426514,match
128,andy,andy,0.9999873638153076,match
129,andy,andy,0.9999884366989136,match
130,andy,andy,0.9999868869781494,match
131,andy,andy,0.9999839067459106,match
132,andy,andy,0.9999853372573853,match
133,andy,andy,0.9999886751174927,match
134,andy,andy,0.9999855756759644,match
135,andy,andy,0.9999871253967285,match
136,andy,andy,0.9999868869781494,match
137,andy,andy,0.9999872446060181,match
138,andy,andy,0.9999819993972778,match
139,andy,andy,0.9999816417694092,match
140,andy,andy,0.9988479614257812,match
141,andy,andy,0.9999884366989136,match
142,andy,andy,0.9999808073043823,match
143,andy,andy,0.999983549118042,match
144,bryce,cy,0.9997472167015076,nope
145,bryce,jonah,0.9606970548629761,nope
146,bryce,cy,0.6181588172912598,nope
147,bryce,jonah,0.5412742495536804,nope
148,bryce,cy,0.9952208399772644,nope
149,bryce,cy,0.9892479777336121,nope
150,bryce,cy,0.6687756180763245,nope
151,bryce,adhy,0.9873585104942322,nope
152,bryce,bryce,0.8522367477416992,match
153,bryce,adhy,0.9729313254356384,nope
154,bryce,cy,0.8916570544242859,nope
155,bryce,cy,0.9696840643882751,nope
156,bryce,cy,0.997358500957489,nope
157,bryce,cy,0.6157205104827881,nope
158,bryce,cy,0.9761853814125061,nope
159,bryce,cy,0.9847346544265747,nope
160,bryce,cy,0.9999244213104248,nope
161,bryce,cy,0.9995081424713135,nope
162,bryce,jonah,0.7230712175369263,nope
163,bryce,adhy,0.9721322655677795,nope
164,bryce,qk,0.8482196927070618,nope
165,bryce,adhy,0.6131964921951294,nope
166,bryce,jonah,0.6615813374519348,nope
167,bryce,bryce,0.5018270611763,match
168,bryce,cy,0.6143542528152466,nope
169,bryce,bryce,0.6477935910224915,match
170,bryce,cy,0.9907095432281494,nope
171,bryce,qk,0.9341211915016174,nope
172,bryce,cy,0.9997373223304749,nope
173,bryce,cy,0.9999082088470459,nope
174,bryce,cy,0.997835099697113,nope
175,bryce,adhy,0.9956557750701904,nope
176,bryce,cy,0.9897462129592896,nope
177,bryce,adhy,0.7472295165061951,nope
178,bryce,cy,0.9147732853889465,nope
179,bryce,cy,0.9652031064033508,nope
180,bryce,cy,0.8380427956581116,nope
181,bryce,cy,0.849005401134491,nope
182,bryce,cy,0.9999414682388306,nope
183,bryce,jonah,0.7361442446708679,nope
184,bryce,cy,0.9997408986091614,nope
185,bryce,cy,0.9263210892677307,nope
186,bryce,cy,0.9705095291137695,nope
187,bryce,cy,0.9975833892822266,nope
188,bryce,cy,0.9998738765716553,nope
189,bryce,cy,0.9174680709838867,nope
190,bryce,cy,0.9999014139175415,nope
191,bryce,cy,0.9997797608375549,nope
192,chris,jonah,0.989700436592102,nope
193,chris,jonah,0.9980664849281311,nope
194,chris,chris,0.6687791347503662,match
195,chris,jonah,0.9998441934585571,nope
196,chris,jonah,0.9803810715675354,nope
197,chris,jonah,0.8228794932365417,nope
198,chris,jonah,0.9883004426956177,nope
199,chris,jonah,0.6287558674812317,nope
200,chris,qk,0.452413409948349,nope
201,chris,adhy,0.923047661781311,nope
202,chris,jonah,0.9985004663467407,nope
203,chris,jonah,0.8606932163238525,nope
204,chris,jonah,0.9961467981338501,nope
205,chris,jonah,0.9985364675521851,nope
206,chris,andy,0.6677678823471069,nope
207,chris,jonah,0.9999045133590698,nope
208,chris,jonah,0.9900152087211609,nope
209,chris,jonah,0.9947458505630493,nope
210,chris,jonah,0.9985175728797913,nope
211,chris,jonah,0.8871075510978699,nope
212,chris,andy,0.6142891645431519,nope
213,chris,jonah,0.9998586177825928,nope
214,chris,jonah,0.6705474257469177,nope
215,chris,jonah,0.9638770818710327,nope
216,chris,chris,0.869918704032898,match
217,chris,adhy,0.6510806679725647,nope
218,chris,andy,0.7697145938873291,nope
219,chris,andy,0.9076001644134521,nope
220,chris,andy,0.8799660205841064,nope
221,chris,jonah,0.6891616582870483,nope
222,chris,jonah,0.999866247177124,nope
223,chris,adhy,0.7282407879829407,nope
224,chris,jonah,0.9998971223831177,nope
225,chris,jonah,0.9997736811637878,nope
226,chris,jonah,0.9998651742935181,nope
227,chris,jonah,0.999885082244873,nope
228,chris,jonah,0.9691333770751953,nope
229,chris,jonah,0.9997256398200989,nope
230,chris,jonah,0.9852628707885742,nope
231,chris,jonah,0.8560644388198853,nope
232,chris,andy,0.9827288389205933,nope
233,chris,jonah,0.9968366622924805,nope
234,chris,jonah,0.603592574596405,nope
235,chris,jonah,0.9458023905754089,nope
236,chris,jonah,0.9811681509017944,nope
237,chris,jonah,0.9013073444366455,nope
238,chris,jonah,0.571904718875885,nope
239,chris,jonah,0.9952685236930847,nope
240,cy,cy,0.9999918937683105,match
241,cy,cy,0.9999847412109375,match
242,cy,cy,0.9999843835830688,match
243,cy,cy,0.9999920129776001,match
244,cy,cy,0.99998939037323,match
245,cy,cy,0.9999910593032837,match
246,cy,cy,0.9999884366989136,match
247,cy,cy,0.9999833106994629,match
248,cy,cy,0.9999867677688599,match
249,cy,cy,0.9999841451644897,match
250,cy,cy,0.9999783039093018,match
251,cy,cy,0.9999809265136719,match
252,cy,cy,0.9999920129776001,match
