,key,press_time,release_time
0,'b',1650809845.5285501,1650809845.6691523
1,'a',1650809845.6534922,1650809845.8878646
2,'r',1650809845.7470782,1650809845.9035473
3,'b',1650809845.8878646,1650809846.0129158
4,key.space,1650809846.715761,1650809846.8563519
5,'h',1650809847.6376283,1650809847.7469773
6,'a',1650809847.8563402,1650809848.0285592
7,'y',1650809848.7157977,1650809848.8252387
8,'e',1650809849.419111,1650809849.6689625
9,'d',1650809849.5285256,1650809849.6689625
,key,press_time,release_time
0,'o',1650809852.887748,1650809852.9813514
1,'y',1650809853.3251133,1650809853.434564
2,'e',1650809853.8879616,1650809854.0440738
3,'z',1650809854.465885,1650809854.6066964
4,key.space,1650809854.70026,1650809854.8095691
5,'s',1650809854.8566477,1650809855.0125427
6,'n',1650809854.997357,1650809855.091022
7,'a',1650809855.18464,1650809855.3719687
8,'c',1650809855.247371,1650809855.3719687
9,'k',1650809855.3562813,1650809855.4816813
,key,press_time,release_time
0,'p',1650809862.6064432,1650809862.7627394
1,'i',1650809862.887695,1650809862.9970665
2,'n',1650809863.1533258,1650809863.2473273
3,'n',1650809863.3252807,1650809863.4347818
4,'e',1650809863.5284896,1650809863.7628334
5,'d',1650809863.5755522,1650809863.747127
6,key.space,1650809864.224362,1650809864.333623
7,'b',1650809864.5366764,1650809864.6304514
8,'a',1650809864.6775627,1650809864.833569
9,'m',1650809864.8649583,1650809864.9900596
,key,press_time,release_time
0,'m',1650809887.5137403,1650809887.6695852
1,'o',1650809887.5908155,1650809887.7010596
2,'l',1650809887.8094885,1650809887.9503264
3,'a',1650809887.9035237,1650809888.106384
4,'s',1650809887.9814432,1650809888.1221147
5,key.space,1650809888.106384,1650809888.2005858
6,'m',1650809888.341065,1650809888.5439043
7,'o',1650809888.4187236,1650809888.5439043
8,'r',1650809888.465988,1650809888.64209
9,'e',1650809888.5281203,1650809888.6720202
,key,press_time,release_time
0,'s',1650809891.2942593,1650809891.4657013
1,'o',1650809891.7470646,1650809891.840779
2,'i',1650809892.0130713,1650809892.0913115
3,'l',1650809892.1691537,1650809892.3094456
4,'e',1650809892.3407652,1650809892.5282223
5,'d',1650809892.3878016,1650809892.543955
6,key.space,1650809892.590772,1650809892.6381292
7,'l',1650809892.8251657,1650809892.9030075
8,'e',1650809892.9653447,1650809893.2157106
9,'t',1650809893.1533282,1650809893.3250413
,key,press_time,release_time
0,'a',1650809895.9502032,1650809896.137512
1,'l',1650809896.1218038,1650809896.1999915
2,'l',1650809896.2624815,1650809896.3416417
3,'o',1650809896.481443,1650809896.5750709
4,'y',1650809899.5133514,1650809899.5910058
5,key.space,1650809899.62198,1650809899.8096325
6,'i',1650809899.872526,1650809899.9813037
7,'o',1650809900.0908852,1650809900.293579
8,'n',1650809900.168579,1650809900.2784004
9,'s',1650809900.246916,1650809900.3875787
,key,press_time,release_time
0,'t',1650809902.934497,1650809903.1219814
1,'a',1650809902.997602,1650809903.184253
2,'x',1650809903.4202292,1650809903.5279484
3,'i',1650809903.6532042,1650809903.7998452
4,'s',1650809903.7998452,1650809903.918821
5,key.space,1650809904.0438192,1650809904.1221015
6,'l',1650809904.2468688,1650809904.3577933
7,'i',1650809904.4655945,1650809904.5596285
8,'r',1650809904.574959,1650809904.7501922
9,'e',1650809904.6374953,1650809904.78013
,key,press_time,release_time
0,'l',1650809914.98275,1650809915.1222074
1,'a',1650809915.090558,1650809915.2627933
2,'k',1650809915.2937756,1650809915.4190152
3,'e',1650809915.3879738,1650809915.5282462
4,key.space,1650809915.639011,1650809915.7329473
5,'v',1650809916.684404,1650809916.8250666
6,'o',1650809916.8250666,1650809916.9341161
7,'i',1650809917.0436935,1650809917.1374266
8,'l',1650809917.2311094,1650809917.34055
9,'e',1650809917.3253198,1650809917.4500592
,key,press_time,release_time
0,'a',1650809919.9031878,1650809920.0908275
1,'g',1650809920.5755682,1650809920.7001617
2,'l',1650809920.8253973,1650809920.9500911
3,'e',1650809921.0595255,1650809921.199966
4,'y',1650809921.8407993,1650809921.9500957
5,key.space,1650809922.0125356,1650809922.1687045
6,'g',1650809922.1843858,1650809922.34088
7,'o',1650809922.4189692,1650809922.5285525
8,'g',1650809922.574971,1650809922.6998487
9,'o',1650809922.6688738,1650809922.7789237
,key,press_time,release_time
0,'o',1650809927.028081,1650809927.278791
1,'p',1650809927.0907502,1650809927.278791
2,'t',1650809927.294104,1650809927.4035165
3,'s',1650809927.6377854,1650809927.7961366
